iter	Logloss
0	0.6865563253
1	0.6820786095
2	0.679033176
3	0.6769597505
4	0.6755377337
5	0.6745703345
6	0.6739017511
7	0.6734402441
8	0.6731275751
9	0.6729037233
10	0.6727364235
11	0.6726095888
12	0.6725135208
13	0.6724312263
14	0.6723758297
15	0.6723158921
16	0.6722616723
17	0.6721927985
18	0.6721532476
19	0.6721189737
20	0.6720858802
21	0.6720386211
22	0.6719894003
23	0.6719478059
24	0.6719022676
25	0.6718639399
26	0.671840111
27	0.6718074117
28	0.6717621057
29	0.6716991854
30	0.6716497416
31	0.6716105787
32	0.6715680167
33	0.6715297611
34	0.6714950404
35	0.6714510741
36	0.6714187121
37	0.6713697171
38	0.6713221962
39	0.6712860547
40	0.6712406987
41	0.6711962347
42	0.6711612783
43	0.6711267009
44	0.6710916014
45	0.6710501032
46	0.6710164959
47	0.6709555304
48	0.6709239209
49	0.6708799319
50	0.6708345452
51	0.6708042202
52	0.6707614121
53	0.6707107971
54	0.6706796602
55	0.6706260291
56	0.6705952401
57	0.6705511976
58	0.6705127524
59	0.6704712913
60	0.6704384855
61	0.6704012961
62	0.6703473011
63	0.6703099044
64	0.670263757
65	0.6702293561
66	0.6701706828
67	0.6701356608
68	0.6700943019
69	0.6700467968
70	0.6700138687
71	0.6699735019
72	0.66992848
73	0.6698879011
74	0.6698441392
75	0.6698108069
76	0.6697795995
77	0.6697419858
78	0.6696997914
79	0.6696641821
80	0.6696258116
81	0.6695758639
82	0.6695282944
83	0.6694787554
84	0.6694334659
85	0.6693804811
86	0.6693324822
87	0.6692833427
88	0.6692324
89	0.6691748646
90	0.6691257475
91	0.6690816661
92	0.6690359595
93	0.6689890495
94	0.6689412159
95	0.6688905448
96	0.6688354461
97	0.6687911057
98	0.6687416857
99	0.6686977857
100	0.6686505355
101	0.6685975246
102	0.6685586655
103	0.6685127176
104	0.6684638938
105	0.6684240679
106	0.6683657802
107	0.6683295482
108	0.6682810433
109	0.6682278999
110	0.6681751964
111	0.6681171761
112	0.6680669309
113	0.6680071064
114	0.667947014
115	0.6679020382
116	0.6678409249
117	0.6677968608
118	0.6677488562
119	0.6677082686
120	0.6676652819
121	0.6676084365
122	0.6675553026
123	0.6675064515
124	0.6674511027
125	0.6674026477
