iter	Passed	Remaining
0	92	92206
1	131	65536
2	167	55666
3	206	51529
4	247	49224
5	282	46831
6	325	46166
7	372	46215
8	414	45691
9	456	45199
10	491	44193
11	535	44071
12	575	43724
13	616	43410
14	659	43288
15	700	43106
16	742	42937
17	784	42814
18	827	42721
19	867	42502
20	907	42294
21	948	42167
22	991	42118
23	1031	41961
24	1077	42010
25	1117	41863
26	1155	41636
27	1192	41411
28	1230	41211
29	1271	41100
30	1311	40981
31	1351	40896
32	1395	40892
33	1437	40832
34	1473	40617
35	1517	40639
36	1556	40520
37	1602	40563
38	1642	40462
39	1678	40294
40	1719	40226
41	1759	40144
42	1799	40055
43	1840	39986
44	1883	39974
45	1927	39974
46	1970	39962
47	2017	40016
48	2058	39949
49	2095	39806
50	2132	39672
51	2172	39613
52	2209	39481
53	2245	39338
54	2287	39308
55	2328	39250
56	2367	39174
57	2413	39191
58	2454	39149
59	2495	39092
60	2540	39103
61	2581	39063
62	2622	39003
63	2660	38916
64	2696	38790
65	2733	38680
66	2775	38652
67	2821	38677
68	2856	38540
69	2896	38486
70	2933	38376
71	2978	38393
72	3021	38366
73	3065	38361
74	3114	38416
75	3153	38342
76	3193	38284
77	3234	38233
78	3278	38215
79	3317	38156
80	3365	38178
81	3412	38205
82	3457	38194
83	3497	38138
84	3533	38032
85	3579	38037
86	3616	37947
87	3653	37863
88	3698	37856
89	3744	37865
90	3785	37809
91	3825	37759
92	3866	37704
93	3908	37672
94	3950	37632
95	3984	37522
96	4021	37441
97	4065	37421
98	4108	37395
99	4147	37324
100	4184	37248
101	4226	37210
102	4260	37102
103	4297	37028
104	4337	36975
105	4378	36930
106	4422	36909
107	4461	36846
108	4498	36776
109	4535	36692
110	4575	36648
111	4615	36596
112	4653	36525
113	4697	36504
114	4738	36465
115	4783	36453
116	4827	36430
117	4865	36368
118	4901	36287
119	4940	36232
120	4981	36184
121	5025	36170
122	5061	36086
123	5100	36029
124	5146	36023
125	5182	35947
126	5224	35911
127	5257	35818
128	5297	35770
129	5339	35732
130	5376	35667
131	5418	35627
132	5457	35576
133	5492	35499
134	5528	35421
135	5568	35377
136	5607	35324
137	5645	35264
138	5687	35230
139	5732	35213
140	5775	35183
141	5809	35100
142	5850	35061
143	5889	35010
144	5925	34941
145	5957	34849
146	5996	34796
147	6028	34705
148	6063	34629
149	6106	34602
150	6145	34553
151	6185	34510
152	6232	34500
153	6285	34527
154	6328	34499
155	6368	34454
156	6419	34468
157	6462	34440
158	6504	34404
159	6539	34330
160	6584	34311
161	6633	34314
162	6672	34265
163	6720	34259
164	6768	34253
165	6814	34235
166	6856	34199
167	6905	34200
168	6949	34172
169	6991	34137
170	7044	34149
171	7094	34152
172	7141	34138
173	7195	34160
174	7235	34108
175	7281	34090
176	7326	34065
177	7366	34018
178	7404	33962
179	7447	33929
180	7487	33881
181	7533	33857
182	7578	33836
183	7618	33785
184	7662	33755
185	7708	33736
186	7755	33716
187	7791	33652
188	7832	33610
189	7877	33585
190	7921	33551
191	7960	33502
192	7997	33441
193	8034	33379
194	8077	33346
195	8124	33325
196	8163	33274
197	8202	33223
198	8238	33160
199	8284	33138
200	8336	33136
